Subject,Start Date,Start Time,End Date,End Time,Description
Financial Management I,06/10/2025,10:45,06/10/2025,12:15,Prof. Ashish Sharma
Management Accounting II,06/10/2025,13:30,06/10/2025,15:00,Prof. Akash Singh Yadav
Operations Research,06/10/2025,15:15,06/10/2025,16:45,Prof. Rohit Agarwal
Marketing Management II,07/10/2025,09:00,07/10/2025,10:30,Prof. Chandan Parsad
Macroeconomics,07/10/2025,10:45,07/10/2025,12:15,Prof. Madhumita Das
Workshop on Interviews and Presentations,07/10/2025,13:30,07/10/2025,15:00,Prof. Sanjay Kaushal
Operations Research,07/10/2025,15:15,07/10/2025,16:45,Prof. Rohit Agarwal
Marketing Management II,08/10/2025,09:00,08/10/2025,10:30,Prof. Chandan Parsad
Management Accounting II,08/10/2025,10:45,08/10/2025,12:15,Prof. Akash Singh Yadav
Financial Management I,08/10/2025,13:30,08/10/2025,15:00,Prof. Ashish Sharma
Organizational Behaviour II,08/10/2025,15:15,08/10/2025,16:45,Prof. Remya Lathabhavan
Organizational Behaviour II,09/10/2025,09:00,09/10/2025,10:30,Prof. Remya Lathabhavan
Operations Research,09/10/2025,10:45,09/10/2025,12:15,Prof. Rohit Agarwal
Macroeconomics,09/10/2025,13:30,09/10/2025,15:00,Prof. Madhumita Das
Operations Research,10/10/2025,09:00,10/10/2025,10:30,Prof. Rohit Agarwal
Financial Management I,10/10/2025,10:45,10/10/2025,12:15,Prof. Ashish Sharma
Management Accounting II,10/10/2025,13:30,10/10/2025,15:00,Prof. Akash Singh Yadav
Marketing Management II,10/10/2025,15:15,10/10/2025,16:45,Prof. Chandan Parsad
Operations Research,13/10/2025,10:45,13/10/2025,12:15,Prof. Rohit Agarwal
Organizational Behaviour II,13/10/2025,13:30,13/10/2025,15:00,Prof. Remya Lathabhavan
Financial Management I,13/10/2025,15:15,13/10/2025,16:45,Prof. Ashish Sharma
Management Accounting II,14/10/2025,09:00,14/10/2025,10:30,Prof. Akash Singh Yadav
Marketing Management II,14/10/2025,10:45,14/10/2025,12:15,Prof. Chandan Parsad
Organizational Behaviour II,14/10/2025,13:30,14/10/2025,15:00,Prof. Remya Lathabhavan
Macroeconomics,14/10/2025,15:15,14/10/2025,16:45,Prof. Madhumita Das
Operations Research,15/10/2025,09:00,15/10/2025,10:30,Prof. Rohit Agarwal
Organizational Behaviour II,15/10/2025,10:45,15/10/2025,12:15,Prof. Remya Lathabhavan
Marketing Management II,15/10/2025,13:30,15/10/2025,15:00,Prof. Chandan Parsad
Workshop on Interviews and Presentations,16/10/2025,09:00,16/10/2025,10:30,(Guest Session)
Management Accounting II,16/10/2025,10:45,16/10/2025,12:15,Prof. Akash Singh Yadav
Financial Management I,16/10/2025,13:30,16/10/2025,15:00,Prof. Ashish Sharma
Macroeconomics,16/10/2025,15:15,16/10/2025,16:45,Prof. Madhumita Das
Organizational Behaviour II,17/10/2025,10:45,17/10/2025,12:15,Prof. Remya Lathabhavan
Marketing Management II,17/10/2025,13:30,17/10/2025,15:00,Prof. Chandan Parsad
DIWALI,20/10/2025,09:00,20/10/2025,10:30,nan
DIWALI,20/10/2025,10:45,20/10/2025,12:15,nan
DIWALI,20/10/2025,13:30,20/10/2025,15:00,nan
DIWALI,20/10/2025,15:15,20/10/2025,16:45,nan
Organizational Behaviour II,21/10/2025,09:00,21/10/2025,10:30,Prof. Remya Lathabhavan
Financial Management I,21/10/2025,10:45,21/10/2025,12:15,Prof. Ashish Sharma
Workshop on Interviews and Presentations,21/10/2025,13:30,21/10/2025,15:00,Prof. Sanjay Kaushal
Macroeconomics,22/10/2025,09:00,22/10/2025,10:30,Prof. Madhumita Das
