Date,09:00-10:30,10:45-12:15,13:30-15:00,15:15-16:45
06/10/25,Organizational Behaviour II,Operations Research,Financial Management I,Management Accounting II
,Prof. Abhyudaya Anand Mishra,Prof. C V Sunil Kumar,Prof. Molla Ramizur Rahman,Prof. Amrit Panda
07/10/25,Macroeconomics,Workshop on Interviews and Presentations,Marketing Management II,
,Prof. Suresh KG,Prof. Sajan Pookkodan,Prof. Swapnarag Swain,
08/10/25,Operations Research,Financial Management I,Organizational Behaviour II,Management Accounting II
,Prof. C V Sunil Kumar,Prof. Molla Ramizur Rahman,Prof. Abhyudaya Anand Mishra,Prof. Amrit Panda
09/10/25,,Macroeconomics,Marketing Management II,Organizational Behaviour II
,,Prof. Suresh KG,Prof. Swapnarag Swain,Prof. Abhyudaya Anand Mishra
10/10/25,Marketing Management II,Management Accounting II,Operations Research,
,Prof. Swapnarag Swain,Prof. Amrit Panda,Prof. C V Sunil Kumar,
11/10/25,,,,
,,,,
12/10/25,,,,
,,,,
13/10/25,Operations Research,Management Accounting II,Marketing Management II,Organizational Behaviour II
,Prof. C V Sunil Kumar,Prof. Amrit Panda,Prof. Swapnarag Swain,Prof. Abhyudaya Anand Mishra
14/10/25,,Financial Management I,Macroeconomics,
,,Prof. Molla Ramizur Rahman,Prof. Suresh KG,
15/10/25,Macroeconomics,Marketing Management II,Management Accounting II,Organizational Behaviour II
,Prof. Suresh KG,Prof. Swapnarag Swain,Prof. Amrit Panda,Prof. Abhyudaya Anand Mishra
16/10/25,Workshop on Interviews and Presentations,Financial Management I,Operations Research,
,(Guest Session),Prof. Molla Ramizur Rahman,Prof. C V Sunil Kumar,
17/10/25,Organizational Behaviour II,Operations Research,Macroeconomics,Marketing Management II
,Prof. Abhyudaya Anand Mishra,Prof. C V Sunil Kumar,Prof. Suresh KG,Prof. Swapnarag Swain
18/10/25,,,,
,,,,
19/10/25,,,,
,,,,
20/10/25,DIWALI,DIWALI,DIWALI,DIWALI
,,,,
21/10/25,Workshop on Interviews and Presentations,Marketing Management II,,
,Prof. Sajan Pookkodan,Prof. Swapnarag Swain,,
22/10/25,Financial Management I,Operations Research,,
,Prof. Molla Ramizur Rahman,Prof. C V Sunil Kumar,,
23/10/25,Macroeconomics,,,
,Prof. Suresh KG,,,
24/10/25,Operations Research,Organizational Behaviour II,,
,Prof. C V Sunil Kumar,Prof. Abhyudaya Anand Mishra,,
25/10/25,,,,
,,,,
26/10/25,,,,
,,,,
27/10/25,Operations Research,Macroeconomics,Marketing Management II,Management Accounting II
,Prof. C V Sunil Kumar,Prof. Suresh KG,Prof. Swapnarag Swain,Prof. Amrit Panda
28/10/25,CHHATH PUJA,CHHATH PUJA,CHHATH PUJA,CHHATH PUJA
,,,,
29/10/25,Management Accounting II,Macroeconomics,Organizational Behaviour II,Workshop on Interviews and Presentations
,Prof. Amrit Panda,Prof. Suresh KG,Prof. Abhyudaya Anand Mishra,Prof. Sajan Pookkodan
30/10/25,Marketing Management II,,Financial Management I,
,Prof. Swapnarag Swain,,Prof. Molla Ramizur Rahman,
31/10/25,Organizational Behaviour II,Management Accounting II,Macroeconomics,
,Prof. Abhyudaya Anand Mishra,Prof. Amrit Panda,Prof. Suresh KG,
01/11/25,,,,
,,,,
02/11/25,,,,
,,,,
03/11/25,Marketing Management II,Management Accounting II,Operations Research,
,Prof. Swapnarag Swain,Prof. Amrit Panda,Prof. C V Sunil Kumar,
04/11/25,,Macroeconomics,Organizational Behaviour II,
,,Prof. Suresh KG,Prof. Abhyudaya Anand Mishra,
05/11/25,GURUNANAK JAYANTI,GURUNANAK JAYANTI,GURUNANAK JAYANTI,GURUNANAK JAYANTI
,,,,
06/11/25,,Management Accounting II,,
,,Prof. Amrit Panda,,
07/11/25,Financial Management I,,,
,Prof. Molla Ramizur Rahman,,,
08/11/25,NETRITVA,NETRITVA,NETRITVA,NETRITVA
,,,,
09/11/25,,,,
,,,,
10/11/25,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS
,,,,
11/11/25,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS
,,,,
12/11/25,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS
,,,,
13/11/25,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS
,,,,
14/11/25,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS
,,,,
15/11/25,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS,MID TERM EXAMINATIONS
,,,,
16/11/25,,,,
,,,,
17/11/25,Financial Management I,Operations Research,Macroeconomics,Marketing Management II
,Prof. Molla Ramizur Rahman,Prof. C V Sunil Kumar,Prof. Suresh KG,Prof. Swapnarag Swain
18/11/25,Design Thinking,Human Resource Management,Entrepreneurship,Workshop on Interviews and Presentations
,Prof. Suryakant Kumar,Prof. Tarun Kumar Vashisth,Prof. Loitongbam Athouba Meetei,Prof. Sajan Pookkodan
19/11/25,Macroeconomics,,Operations Research,Marketing Management II
,Prof. Suresh KG,,Prof. C V Sunil Kumar,Prof. Swapnarag Swain
20/11/25,Design Thinking,Human Resource Management,Entrepreneurship,Macroeconomics
,Prof. Suryakant Kumar,Prof. Tarun Kumar Vashisth,Prof. Loitongbam Athouba Meetei,Prof. Suresh KG
21/11/25,Entrepreneurship,Financial Management I,Operations Research,Marketing Management II
,Prof. Loitongbam Athouba Meetei,Prof. Molla Ramizur Rahman,Prof. C V Sunil Kumar,Prof. Swapnarag Swain
22/11/25,Design Thinking,,,
,Prof. Suryakant Kumar,,,
23/11/25,Marketing Management II,Financial Management I,,
,Prof. Swapnarag Swain,Prof. Molla Ramizur Rahman,,
24/11/25,Human Resource Management,Entrepreneurship,Financial Management I,Macroeconomics
,Prof. Tarun Kumar Vashisth,Prof. Loitongbam Athouba Meetei,Prof. Molla Ramizur Rahman,Prof. Suresh KG
25/11/25,Marketing Management II,Operations Research,Human Resource Management,Financial Management I
,Prof. Swapnarag Swain,Prof. C V Sunil Kumar,Prof. Tarun Kumar Vashisth,Prof. Molla Ramizur Rahman
26/11/25,Design Thinking,Macroeconomics,Operations Research,Entrepreneurship
,Prof. Suryakant Kumar,Prof. Suresh KG,Prof. C V Sunil Kumar,Prof. Loitongbam Athouba Meetei
27/11/25,Design Thinking,Workshop on Interviews and Presentations,,
,Prof. Suryakant Kumar,Prof. Sajan Pookkodan,,
28/11/25,Human Resource Management,Operations Research,Macroeconomics,Entrepreneurship
,Prof. Tarun Kumar Vashisth,Prof. C V Sunil Kumar,Prof. Suresh KG,Prof. Loitongbam Athouba Meetei
29/11/25,,,,
,,,,
30/11/25,,,,
,,,,
01/12/25,Marketing Management II,Human Resource Management,Entrepreneurship,Operations Research
,Prof. Swapnarag Swain,Prof. Tarun Kumar Vashisth,Prof. Loitongbam Athouba Meetei,Prof. C V Sunil Kumar
02/12/25,Design Thinking,Financial Management I,Macroeconomics,Marketing Management II
,Prof. Suryakant Kumar,Prof. Molla Ramizur Rahman,Prof. Suresh KG,Prof. Swapnarag Swain
03/12/25,Human Resource Management,Macroeconomics,Operations Research,Entrepreneurship
,Prof. Tarun Kumar Vashisth,Prof. Suresh KG,Prof. C V Sunil Kumar,Prof. Loitongbam Athouba Meetei
04/12/25,Human Resource Management,Design Thinking,,
,Prof. Tarun Kumar Vashisth,Prof. Suryakant Kumar,,
05/12/25,Operations Research,Marketing Management II,Entrepreneurship,Macroeconomics
,Prof. C V Sunil Kumar,Prof. Swapnarag Swain,Prof. Loitongbam Athouba Meetei,Prof. Suresh KG
06/12/25,Design Thinking,,,
,Prof. Suryakant Kumar,,,
07/12/25,,,,
,,,,
08/12/25,Financial Management I,Macroeconomics,Entrepreneurship,Human Resource Management
,Prof. Molla Ramizur Rahman,Prof. Suresh KG,Prof. Loitongbam Athouba Meetei,Prof. Tarun Kumar Vashisth
09/12/25,Design Thinking,Operations Research,Marketing Management II,
,Prof. Suryakant Kumar,Prof. C V Sunil Kumar,Prof. Swapnarag Swain,
10/12/25,Human Resource Management,Marketing Management II,Design Thinking,Workshop on Interviews and Presentations
,Prof. Tarun Kumar Vashisth,Prof. Swapnarag Swain,Prof. Suryakant Kumar,Prof. Sajan Pookkodan
11/12/25,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS
,,,,
12/12/25,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS
,,,,
13/12/25,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS
,,,,
14/12/25,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS
,,,,
15/12/25,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS
,,,,
16/12/25,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS
,,,,
17/12/25,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS,END TERM EXAMINATIONS
